"id","description","path","triggers","src","primary_hub","assigned_hubs","match_score","is_primary"
"agents-md","This skill should be used when the user asks to ""create AGENTS.md"", ""update AGENTS.md"", ""maintain agent docs"", ""set up CLAUDE.md"", or needs to keep agent instructions concise. Enforces research-backed best practices for minimal, high-signal agent documentation.","skill-manage/src/antigravity-awesome-skills/skills/agents-md/SKILL.md","agents;md","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"antigravity-skill-orchestrator","A meta-skill that understands task requirements, dynamically selects appropriate skills, tracks successful skill combinations using agent-memory-mcp, and prevents skill overuse for simple tasks.","skill-manage/src/antigravity-awesome-skills/skills/antigravity-skill-orchestrator/SKILL.md","antigravity;skill;orchestrator","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"audit-skills","Expert security auditor for AI Skills and Bundles. Performs non-intrusive static analysis to identify malicious patterns, data leaks, system stability risks, and obfuscated payloads across Windows, macOS, Linux/Unix, and Mobile (Android/iOS).","skill-manage/src/antigravity-awesome-skills/skills/audit-skills/SKILL.md","audit;skills","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"citation-management","Comprehensive citation management for academic research. Search Google Scholar and PubMed for papers, extract accurate metadata, validate citations, and generate properly formatted BibTeX entries. This skill should be used when you need to find papers, verify citation information, convert DOIs to BibTeX, or ensure reference accuracy in scientific writing.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/citation-management/SKILL.md","citation;management","external:K-Dense-AI-claude-scientific-skills","ai/skills-factory","ai/skills-factory","5","true"
"documentation-generation-doc-generate","You are a documentation expert specializing in creating comprehensive, maintainable documentation from code. Generate API docs, architecture diagrams, user guides, and technical references using AI-powered analysis and industry best practices.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-skill-author/skills/documentation-generation-doc-generate/SKILL.md","documentation;generation;doc;generate","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"docx","Use this skill whenever the user wants to create, read, edit, or manipulate Word documents (.docx files). Triggers include: any mention of 'Word doc', 'word document', '.docx', or requests to produce professional documents with formatting like tables of contents, headings, page numbers, or letterheads. Also use when extracting or reorganizing content from .docx files, inserting or replacing images in documents, performing find-and-replace in Word files, working with tracked changes or comments, or converting content into a polished Word document. If the user asks for a 'report', 'memo', 'letter', 'template', or similar deliverable as a Word or .docx file, use this skill. Do NOT use for PDFs, spreadsheets, Google Docs, or general coding tasks unrelated to document generation.","skill-manage/src/K-Dense-AI-claude-scientific-skills/scientific-skills/docx/SKILL.md","docx","external:K-Dense-AI-claude-scientific-skills","ai/skills-factory","ai/skills-factory","5","true"
"hierarchical-agent-memory","Scoped CLAUDE.md memory system that reduces context token spend. Creates directory-level context files, tracks savings via dashboard, and routes agents to the right sub-context.","skill-manage/src/antigravity-awesome-skills/skills/hierarchical-agent-memory/SKILL.md","hierarchical;agent;memory","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"lint-and-validate","MANDATORY: Run appropriate validation tools after EVERY code change. Do not finish a task until the code is error-free.","skill-manage/src/antigravity-awesome-skills/plugins/antigravity-bundle-essentials/skills/lint-and-validate/SKILL.md","lint;and;validate","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-authoring-workflow","Turn raw PM content into a compliant, publish-ready skill. Use when creating or updating a repo skill without breaking standards.","skill-manage/src/Product-Manager-Skills/skills/skill-authoring-workflow/SKILL.md","skill;authoring;workflow","external:Product-Manager-Skills","ai/skills-factory","ai/skills-factory","100","true"
"skill-check","Validate Claude Code skills against the agentskills specification. Catches structural, semantic, and naming issues before users do.","skill-manage/src/antigravity-awesome-skills/skills/skill-check/SKILL.md","skill;check","external:antigravity-awesome-skills","ai/skills-factory","ai/skills-factory","100","true"
